,finn_code,model_year,manufacturer,model,km,power,gear,trans,cylinder,fuel_type,model_age
311,138221199,2015,28,320,4.0,128.0,1,1,2.0,1,4
312,138221099,2009,28,207,10.0,117.0,1,0,2.5,1,10
314,138221092,2015,13,149,7.0,150.0,0,0,2.2,1,4
315,138217145,2008,17,327,8.0,106.0,1,1,1.5,1,11
316,138216705,2004,0,58,12.0,150.0,1,0,1.8,0,15
317,138221058,2016,1,437,5.0,163.0,0,0,2.0,1,3
318,122274523,2007,25,257,14.0,165.0,0,0,2.0,0,12
319,138220947,2016,28,453,3.0,73.0,0,1,1.5,3,3
320,138220912,2019,29,191,0.0,136.0,0,1,0.0,2,0
322,138220916,2015,28,453,2.0,75.0,0,1,1.5,0,4
323,138219776,2009,29,364,12.0,116.0,1,0,1.9,1,10
324,138220800,2012,7,126,9.0,150.0,1,1,2.2,1,7
325,138220742,2013,28,320,6.0,163.0,0,1,2.0,1,6
326,138220763,2016,29,191,6.0,110.0,0,1,1.2,0,3
327,138220772,2018,23,244,1.0,190.0,0,0,2.0,1,1
328,138220723,2019,29,191,0.0,136.0,0,1,0.0,2,0
330,138220769,2012,18,457,9.0,131.0,1,1,2.0,1,7
331,138219714,2013,28,208,7.0,144.0,1,0,2.5,1,6
332,138220618,2016,0,56,4.0,163.0,0,0,2.0,1,3
333,138220498,2015,5,32,6.0,114.0,0,1,0.0,2,4
334,138220500,2016,1,436,7.0,163.0,0,0,2.0,1,3
335,138220499,2005,18,456,13.0,101.0,1,1,1.6,0,14
336,138220463,2016,14,51,3.0,122.0,0,1,1.6,0,3
337,138220338,2014,16,72,6.0,116.0,1,0,1.8,1,5
338,138220433,2015,11,374,5.0,135.0,1,1,1.6,0,4
339,138218291,2007,28,208,12.0,120.0,1,0,2.5,1,12
340,138220326,2012,1,31,11.0,184.0,0,2,2.0,1,7
341,138214702,2005,1,18,14.0,116.0,1,2,1.6,0,14
342,138216435,2007,1,436,10.0,177.0,0,0,2.0,1,12
343,127636754,2006,29,107,11.0,69.0,1,1,2.0,1,13
345,138220145,2015,29,192,7.0,184.0,0,0,2.0,1,4
347,138220072,2013,28,453,7.0,75.0,0,1,1.5,3,6
348,138220109,2016,29,191,1.0,110.0,0,1,1.6,1,3
349,138219925,2017,8,409,4.0,141.0,0,1,1.7,1,2
350,138219928,2016,6,164,2.0,125.0,1,1,1.0,0,3
351,138214548,2014,1,438,8.0,258.0,0,0,3.0,1,5
352,138213303,2004,6,402,11.0,84.0,1,1,2.0,1,15
353,138219901,2015,17,327,2.0,131.0,0,1,1.6,1,4
354,138219807,2019,16,299,0.0,230.0,0,0,0.0,3,0
355,138219797,2013,11,115,10.0,116.0,1,1,1.7,1,6
356,138219801,2016,28,453,3.0,100.0,0,1,1.5,3,3
357,138219765,2016,23,293,8.0,179.0,0,0,1.8,0,3
359,138219162,2000,7,209,14.0,105.0,1,0,1.6,0,19
360,138219661,2014,30,418,7.0,286.0,0,0,2.4,3,5
361,138219551,2005,1,18,14.0,163.0,1,2,2.0,1,14
362,138219548,2015,17,327,4.0,116.0,0,1,1.2,0,4
363,138218394,2006,17,242,14.0,133.0,1,0,2.5,1,13
364,138219343,2014,29,405,12.0,114.0,1,1,2.0,1,5
366,138219440,2010,23,455,8.0,110.0,1,1,2.0,1,9
367,138219455,2016,0,54,3.0,150.0,0,1,1.4,3,3
368,138219309,2016,28,73,4.0,136.0,0,1,1.8,3,3
369,138219347,2009,30,442,11.0,185.0,0,0,2.4,1,10
370,138219261,2016,28,73,3.0,136.0,0,1,1.8,3,3
371,138219131,2018,26,385,0.0,140.0,0,0,1.4,0,1
372,138219087,2012,29,405,8.0,114.0,1,1,2.0,1,7
373,138219010,2013,29,109,10.0,102.0,1,1,1.6,1,6
374,138219121,2012,30,420,10.0,114.0,1,1,1.6,1,7
375,138219118,2015,17,327,6.0,110.0,1,1,1.5,1,4
376,138042701,2013,28,254,11.0,190.0,0,0,3.0,1,6
377,138219104,2013,13,149,8.0,150.0,0,0,2.2,1,6
378,138219098,2015,17,327,5.0,110.0,1,1,1.5,1,4
379,138219074,2018,28,254,1.0,177.0,0,0,2.8,1,1
380,138218967,2012,28,75,8.0,147.0,0,1,1.8,0,7
381,138218953,2016,30,444,6.0,407.0,0,0,2.0,3,3
382,138218981,2013,28,319,8.0,99.0,0,1,1.8,3,6
383,138218999,2013,29,109,9.0,110.0,1,0,2.0,1,6
384,138218949,2012,17,327,9.0,110.0,1,1,1.5,1,7
385,138214977,2006,28,138,11.0,110.0,1,1,2.0,0,13
386,138218980,2016,29,191,3.0,116.0,0,1,0.0,2,3
