finn_code,model_year,manufacturer,model,km,power,gear,trans,first_reg,cylinder,fuel_type,price
137784513,2012,Volkswagen,Tiguan,104000.0,140.0,Automat,AWD,,2.0,Diesel,189000
137784587,2010,Mitsubishi,Outlander,145000.0,140.0,Manuell,AWD,,2.0,Diesel,139000
137784432,2007,Volvo,XC 70,164000.0,185.0,Automat,AWD,,2.4,Diesel,155000
137784326,2012,Toyota,Aygo,58000.0,68.0,Automat,FWD,,1.0,Bensin,65000
137784250,2008,Mazda,5,150000.0,110.0,Manuell,FWD,,2.0,Diesel,59000
137784690,2018,Audi,A6,34000.0,326.0,Automat,AWD,,3.0,Diesel,919000
137784648,2017,Mazda,6,71000.0,175.0,Automat,AWD,2017,2.2,Diesel,349000
137784526,2016,Subaru,Levorg,30900.0,170.0,Automat,AWD,2016,1.6,Bensin,329000
101549207,2006,Audi,A4,303000.0,200.0,Automat,AWD,2005,2.0,Bensin,41469
137756418,2011,Toyota,Yaris,110000.0,100.0,Manuell,FWD,2011,1.3,Bensin,69900
137783686,2008,Toyota,Corolla Verso,205600.0,136.0,Manuell,FWD,2008,2.2,Diesel,55775
129669577,2015,BMW,X5,127785.0,313.0,Automat,AWD,2018,3.0,Diesel,656161
137783918,2007,Fiat,Stilo,74900.0,103.0,Manuell,FWD,2007,1.6,Bensin,49900
137783574,2004,Mercedes-Benz,G-klasse,97763.0,250.0,Automat,AWD,2004,4.0,Diesel,599900
137783498,2013,Peugeot,508,101000.0,114.0,Automat,FWD,2013,1.6,Diesel,139000
137783425,2007,BMW,3-serie,95900.0,129.0,Manuell,RWD,2007,2.0,Bensin,99900
137779948,1977,Volvo,245,169000.0,,Manuell,RWD,1999,2.1,Bensin,39000
137780122,2001,Toyota,Yaris,229000.0,86.0,Manuell,FWD,2001,1299.0,Bensin,13179
137779730,2010,Ford,Mondeo,283917.0,140.0,Manuell,FWD,2011,1997.0,Diesel,48775
120984972,2002,BMW,7-serie,188000.0,333.0,Automat,RWD,2004,4.4,Bensin,126594
137783167,2017,Mercedes-Benz,Vito,40983.0,190.0,Automat,AWD,2017,2.1,Diesel,429900
137779540,2019,Volkswagen,Golf,15.0,,Automat,FWD,2018,,Elektrisitet,369000
137528363,2004,Mercedes-Benz,E-Klasse,598500.0,150.0,Automat,RWD,2004,2148.0,Diesel,25000
137528990,1985,Citroen,CX,298000.0,168.0,Manuell,FWD,1985,2.5,Bensin,9500
137782678,2016,Peugeot,Partner,38037.0,99.0,Manuell,FWD,2016,1.6,Diesel,139000
137771639,2017,Ford,Transit Custom,7790.0,131.0,Automat,FWD,2017,2.0,Diesel,298000
137777255,1999,BMW,5-serie,260000.0,170.0,Automat,RWD,2003,2494.0,Bensin,15618
137778396,2006,Audi,A4,240000.0,131.0,Manuell,FWD,2005,1984.0,Bensin,31618
137777402,2008,Ford,Transit,193000.0,110.0,Manuell,FWD,2009,2.2,Diesel,59000
128732931,2014,Ford,Fiesta,70000.0,65.0,Manuell,FWD,2015,1.0,Bensin,100000
137773722,2000,BMW,3-serie,266000.0,170.0,Automat,RWD,2000,2171.0,Bensin,14094
137782327,2018,Mercedes-Benz,GLC,17064.0,320.0,Automat,AWD,2018,2.0,Hybrid,719000
137772802,2006,Renault,Clio,123000.0,75.0,Manuell,FWD,2006,1.1,Bensin,35618
137782042,2016,Mercedes-Benz,A-Klasse,31655.0,122.0,Automat,FWD,2016,1.6,Bensin,239000
130901969,2012,Volkswagen,Passat Alltrack,221000.0,140.0,Manuell,AWD,2012,1968.0,Diesel,122999
137778413,2004,Ford,Focus,173000.0,101.0,Manuell,FWD,2004,1.6,Bensin,9618
134395999,2006,BMW,3-serie,105000.0,129.0,Automat,RWD,2006,2.0,Bensin,80000
