,finn_code,manufacturer,model,km,power,cylinder,model_age,trans_0,trans_1,trans_2,fuel_type_0,fuel_type_1,fuel_type_2,fuel_type_3,fuel_type_4,gear_0,gear_1,price
4041,138108738,16,300,301.0,165.0,3.2,18,1,0,0,0,1,0,0,0,1,0,59.00000000000001
8898,137821690,6,400,22.0,170.0,2.0,2,0,1,0,0,1,0,0,0,0,1,337.9999999999998
1839,137992865,13,37,38.0,175.0,2.2,2,0,1,0,0,1,0,0,0,1,0,355.99999999999983
864,138207964,30,444,14.0,235.0,2.0,2,1,0,0,0,1,0,0,0,1,0,840.0
9875,135557063,29,392,242.0,140.0,2.0,9,1,0,0,0,1,0,0,0,0,1,82.99999999999999
5232,138060936,18,220,68.0,163.0,2.0,5,1,0,0,0,1,0,0,0,1,0,289.99999999999994
1989,138163575,28,453,110.0,69.0,1.0,11,0,1,0,1,0,0,0,0,0,1,40.00000000000001
7405,137911996,18,278,226.0,145.0,2.0,8,0,1,0,0,1,0,0,0,0,1,78.99999999999996
8981,137820214,1,214,9.0,170.0,0.0,2,0,0,1,0,0,1,0,0,1,0,293.9999999999998
9627,137805539,21,271,25.0,132.0,1.2,2,0,1,0,1,0,0,0,0,1,0,289.0000000000001
1973,138169352,16,299,60.0,204.0,0.0,3,1,0,0,0,0,0,1,0,1,0,338.9999999999996
8231,137853852,6,236,0.0,86.0,1.2,1,0,1,0,1,0,0,0,0,0,1,179.9999999999999
1499,138194086,19,27,110.0,114.0,1.6,7,1,0,0,0,1,0,0,0,0,1,168.99999999999997
9314,137812275,1,18,190.0,150.0,2.0,13,0,0,1,1,0,0,0,0,0,1,29.999999999999996
5961,138041932,6,165,13.0,210.0,2.0,1,1,0,0,0,1,0,0,0,1,0,678.9999999999997
1969,138169638,23,382,8.0,190.0,2.0,1,1,0,0,0,1,0,0,0,1,0,579.0000000000002
11041,116978364,29,191,54.0,110.0,1.2,4,0,1,0,1,0,0,0,0,1,0,167.99999999999986
4470,138079108,28,75,129.0,126.0,2.0,8,0,1,0,0,1,0,0,0,0,1,110.00000000000003
7431,137909887,18,135,192.0,75.0,1.0,12,0,1,0,0,1,0,0,0,0,1,19.999999999999993
9989,137794775,30,442,60.0,163.0,2.4,3,1,0,0,0,1,0,0,0,1,0,468.9999999999997
10151,137791295,28,453,60.0,100.0,1.5,4,0,1,0,0,0,0,1,0,1,0,158.99999999999997
578,138214371,1,437,2.0,190.0,2.0,1,1,0,0,0,1,0,0,0,1,0,718.9999999999998
6798,137976705,3,84,48.0,90.0,1.6,6,0,1,0,0,1,0,0,0,0,1,95.99999999999994
2866,138135593,1,31,12.0,340.0,3.0,1,1,0,0,1,0,0,0,0,1,0,898.9999999999994
7051,128874320,16,299,148.0,140.0,2.0,11,1,0,0,0,1,0,0,0,0,1,108.99999999999997
