,finn_code,manufacturer,model,km,power,cylinder,model_age,trans_0,trans_1,trans_2,fuel_type_0,fuel_type_1,fuel_type_2,fuel_type_3,fuel_type_4,gear_0,gear_1,price
6187,135670829,30,418,98.0,181.0,2.0,4,0,1,0,0,1,0,0,0,0,1,246.00000000000003
10136,137791706,6,348,7.0,150.0,2.0,1,0,1,0,0,1,0,0,0,0,1,467.9999999999999
4737,138071547,1,31,12.0,252.0,2.0,1,0,0,1,0,0,0,1,0,1,0,588.9999999999998
3569,138125238,1,18,6.0,252.0,2.0,2,0,0,1,0,0,0,1,0,1,0,418.9999999999998
2760,138145052,8,212,50.0,67.0,1.0,2,0,1,0,1,0,0,0,0,0,1,128.99999999999994
897,138207201,17,256,0.0,150.0,0.0,0,0,1,0,0,0,1,0,0,1,0,323.00000000000017
3876,138117743,6,176,19.0,120.0,1.5,2,0,1,0,0,1,0,0,0,0,1,229.00000000000009
5732,138048846,29,192,0.0,184.0,2.0,1,1,0,0,0,1,0,0,0,1,0,468.9999999999997
8506,137836308,1,31,124.0,258.0,3.0,6,1,0,0,0,1,0,0,0,1,0,388.99999999999983
2628,138142873,30,420,251.0,193.0,2.5,21,0,1,0,1,0,0,0,0,1,0,29.999999999999996
9589,137806309,17,256,35.0,109.0,0.0,5,0,1,0,0,0,1,0,0,1,0,159.99999999999994
6280,138023536,17,256,3.0,149.0,0.0,1,0,1,0,0,0,1,0,0,1,0,285.00000000000006
4768,138070896,1,436,185.0,150.0,2.0,14,1,0,0,0,1,0,0,0,0,1,88.00000000000004
4926,138067083,29,405,64.0,204.0,2.0,2,1,0,0,0,1,0,0,0,1,0,429.9999999999996
9466,137809154,19,303,78.0,90.0,1.6,6,0,1,0,0,1,0,0,0,1,0,88.99999999999994
7254,137929615,1,8,62.0,326.0,3.0,4,1,0,0,1,0,0,0,0,1,0,564.0
1743,138183742,1,214,8.0,184.0,0.0,1,0,0,1,0,0,1,0,0,1,0,358.9999999999998
7631,137894961,8,213,6.0,99.0,1.0,1,0,1,0,1,0,0,0,0,0,1,181.99999999999994
824,129209958,17,310,222.0,160.0,3.0,14,1,0,0,0,1,0,0,0,1,0,131.99999999999991
4794,138069280,7,126,120.0,83.0,1.3,10,0,1,0,1,0,0,0,0,0,1,64.99999999999997
9602,137806043,28,453,50.0,100.0,1.5,4,0,1,0,0,0,0,1,0,1,0,148.99999999999991
9071,137818246,17,316,129.0,109.0,1.6,15,0,1,0,1,0,0,0,0,0,1,34.99999999999999
10568,134110486,30,443,232.0,163.0,2.4,16,1,0,0,0,1,0,0,0,1,0,61.00000000000002
3323,138131893,19,303,95.0,90.0,1.6,6,0,1,0,0,1,0,0,0,0,1,85.00000000000003
1231,138199666,30,441,10.0,190.0,2.0,1,1,0,0,0,1,0,0,0,1,0,598.9999999999997
6246,138019747,30,417,141.0,109.0,1.6,11,0,1,0,0,1,0,0,0,0,1,52.0
5192,138061609,17,256,7.0,109.0,0.0,2,0,1,0,0,0,1,0,0,1,0,229.00000000000009
4917,138067445,1,214,38.0,170.0,0.0,3,0,0,1,0,0,1,0,0,1,0,205.0
6020,138039803,18,140,75.0,95.0,1.3,8,0,1,0,0,1,0,0,0,0,1,74.99999999999999
3618,80604673,1,434,85.0,136.0,2.0,7,1,0,0,0,1,0,0,0,1,0,215.0
8135,137857400,6,348,96.0,116.0,1.6,5,0,1,0,0,1,0,0,0,0,1,232.00000000000003
2958,138139845,1,214,14.0,170.0,0.0,4,0,1,0,0,0,1,0,0,1,0,199.9999999999999
6770,137981336,6,175,137.0,75.0,1.2,14,0,1,0,1,0,0,0,0,0,1,15.999999999999991
1591,137988583,1,18,260.0,150.0,2.0,19,0,0,1,1,0,0,0,0,0,1,21.000000000000004
4365,138084353,6,196,23.0,120.0,1.5,3,0,1,0,0,1,0,0,0,0,1,229.9999999999999
10988,136199403,29,312,83.0,90.0,2.0,9,0,1,0,0,1,0,0,0,0,1,74.99999999999999
9332,137812835,19,303,31.0,48.0,0.0,5,0,1,0,0,0,1,0,0,1,0,110.00000000000003
6212,137998562,16,299,130.0,140.0,2.0,12,1,0,0,0,1,0,0,0,0,1,110.00000000000003
10990,137749179,0,52,4.0,95.0,1.0,1,0,1,0,1,0,0,0,0,1,0,238.99999999999994
3581,138120875,29,107,120.0,102.0,2.0,7,0,1,0,0,1,0,0,0,0,1,70.00000000000003
5943,138042510,25,452,14.0,114.0,1.6,3,1,0,0,1,0,0,0,0,1,0,274.99999999999994
5500,138055256,17,256,0.0,150.0,0.0,1,0,1,0,0,0,1,0,0,1,0,328.9999999999998
3984,131813941,1,31,212.0,177.0,2.0,13,0,0,1,0,1,0,0,0,1,0,111.99999999999994
9597,137806142,30,442,63.0,163.0,2.4,5,1,0,0,0,1,0,0,0,1,0,428.9999999999999
2523,138149681,30,442,51.0,163.0,2.4,2,1,0,0,0,1,0,0,0,1,0,499.99999999999983
9303,137813662,30,442,19.0,235.0,2.0,1,1,0,0,0,1,0,0,0,1,0,788.9999999999995
6859,137903879,13,37,187.0,120.0,1.8,14,0,1,0,1,0,0,0,0,0,1,16.999999999999996
4525,138076936,16,299,56.0,150.0,2.3,3,1,0,0,0,1,0,0,0,1,0,268.99999999999994
8350,137845761,1,214,12.0,170.0,0.0,1,0,0,1,0,0,1,0,0,1,0,334.9999999999999
2049,138164932,30,416,31.0,120.0,2.0,3,0,1,0,0,1,0,0,0,1,0,287.9999999999999
1208,138200085,0,54,103.0,105.0,1.6,7,0,1,0,0,1,0,0,0,0,1,108.99999999999997
2201,121550875,17,327,67.0,110.0,1.5,4,0,1,0,0,1,0,0,0,0,1,195.9999999999999
4938,138066560,6,176,52.0,125.0,1.0,5,0,1,0,1,0,0,0,0,0,1,168.99999999999997
3405,138129728,14,187,3.0,204.0,2.1,1,1,0,0,0,1,0,0,0,1,0,729.0000000000001
5828,138046136,23,293,24.0,140.0,1.4,4,0,1,0,1,0,0,0,0,0,1,219.0
5120,138062866,14,159,67.0,194.0,2.0,2,0,0,1,0,1,0,0,0,1,0,488.99999999999983
9669,137802753,18,71,40.0,105.0,1.0,2,0,1,0,1,0,0,0,0,0,1,219.0
2227,138155707,30,422,39.0,190.0,2.0,1,1,0,0,0,1,0,0,0,1,0,649.0000000000001
8194,136797518,29,397,167.0,105.0,1.9,13,0,1,0,0,1,0,0,0,0,1,46.99999999999998
8890,137821714,29,191,112.0,110.0,1.6,4,0,1,0,0,1,0,0,0,1,0,164.99999999999994
10597,135191427,29,412,36.0,60.0,1.0,7,0,1,0,1,0,0,0,0,0,1,78.0
1283,138193888,6,168,135.0,220.0,2.0,24,1,0,0,1,0,0,0,0,0,1,274.99999999999994
2741,138145490,30,418,73.0,233.0,2.4,3,1,0,0,0,0,0,1,0,1,0,338.9999999999996
5437,138056662,17,256,0.0,109.0,0.0,0,0,1,0,0,0,1,0,0,1,0,236.00000000000006
3803,138119436,23,293,35.0,110.0,2.0,3,1,0,0,0,1,0,0,0,0,1,219.0
1492,138190079,14,80,32.0,180.0,0.0,4,0,1,0,0,0,1,0,0,1,0,198.99999999999983
5363,138058458,19,10,33.0,110.0,1.2,3,0,1,0,1,0,0,0,0,1,0,219.0
6646,137989149,19,36,125.0,111.0,1.6,8,0,1,0,0,1,0,0,0,1,0,94.99999999999999
416,138218564,29,194,88.0,122.0,1.4,6,0,1,0,1,0,0,0,0,1,0,119.99999999999996
10558,137766699,1,214,29.0,170.0,0.0,3,0,0,1,0,0,1,0,0,1,0,209.99999999999972
10954,137750328,13,149,25.0,150.0,2.2,5,1,0,0,0,1,0,0,0,1,0,287.9999999999999
3131,138136056,16,299,98.0,121.0,2.0,3,1,0,0,0,0,0,1,0,1,0,299.9999999999999
7399,137904535,25,177,128.0,147.0,2.0,9,1,0,0,0,1,0,0,0,0,1,134.99999999999997
837,138197906,28,75,230.0,129.0,1.8,15,0,1,0,1,0,0,0,0,0,1,23.999999999999996
2881,138142037,28,90,17.0,122.0,1.8,1,0,1,0,0,0,0,1,0,1,0,322.00000000000006
721,138211327,0,325,62.0,163.0,2.0,3,1,0,0,0,1,0,0,0,1,0,417.9999999999996
3320,133758942,3,440,119.0,132.0,2.0,22,0,1,0,1,0,0,0,0,0,1,23.999999999999996
2241,138155145,7,126,183.0,140.0,2.2,11,0,1,0,0,1,0,0,0,0,1,59.00000000000001
10302,137785311,14,159,156.0,136.0,2.1,9,0,0,1,0,1,0,0,0,1,0,149.99999999999986
1215,138199898,11,374,135.0,135.0,1.6,7,0,1,0,1,0,0,0,0,0,1,128.99999999999994
11141,137745616,5,35,81.0,120.0,1.6,4,0,1,0,0,1,0,0,0,0,1,168.99999999999997
9147,137816813,25,219,82.0,107.0,1.5,8,1,0,0,1,0,0,0,0,0,1,119.99999999999996
10265,137748716,27,274,101.0,422.0,0.0,5,0,0,1,0,0,1,0,0,1,0,529.9999999999997
5777,138047518,1,436,187.0,177.0,2.0,12,1,0,0,0,1,0,0,0,1,0,139.0
2455,138150471,28,208,82.0,144.0,2.5,6,1,0,0,0,1,0,0,0,0,1,229.00000000000009
5313,76969442,1,18,164.0,170.0,2.0,9,0,0,1,1,0,0,0,0,1,0,148.99999999999991
8930,137821275,16,300,97.0,230.0,3.2,6,1,0,0,0,1,0,0,0,1,0,299.0
7350,137915587,29,405,143.0,114.0,2.0,6,0,1,0,0,1,0,0,0,0,1,100.00000000000003
6112,138037078,11,374,87.0,116.0,1.7,6,0,1,0,0,1,0,0,0,0,1,145.00000000000003
2423,130788801,28,254,256.0,163.0,3.0,17,1,0,0,0,1,0,0,0,1,0,86.99999999999997
1820,134954067,29,405,227.0,105.0,1.9,15,0,1,0,0,1,0,0,0,0,1,46.99999999999998
5681,138050209,9,150,38.0,163.0,2.5,3,1,0,0,0,1,0,0,0,1,0,348.9999999999996
8751,137825364,14,51,150.0,95.0,1.5,11,0,1,0,1,0,0,0,0,0,1,55.0
8128,129482145,30,444,198.0,185.0,2.0,10,1,0,0,0,1,0,0,0,1,0,203.99999999999986
3587,138124917,28,73,83.0,136.0,1.8,5,0,1,0,0,0,0,1,0,1,0,189.00000000000009
10085,137792509,30,418,89.0,286.0,2.4,5,1,0,0,0,0,0,1,0,1,0,298.0000000000001
10663,137761882,30,415,37.0,115.0,1.6,4,0,1,0,0,1,0,0,0,1,0,209.0
2759,138145005,14,91,25.0,156.0,1.6,4,0,0,1,1,0,0,0,0,1,0,299.9999999999999
697,138211775,1,31,28.0,190.0,2.0,1,1,0,0,0,1,0,0,0,1,0,663.9999999999998
2929,138140700,11,369,0.0,110.0,0.0,0,0,1,0,0,0,1,0,0,1,0,267.99999999999983
9412,137810523,14,51,50.0,122.0,1.6,5,0,1,0,1,0,0,0,0,1,0,209.0
9099,137817732,1,31,87.0,163.0,2.0,4,1,0,0,0,1,0,0,0,1,0,368.9999999999999
5968,105106409,19,2,106.0,68.0,1.4,14,0,1,0,0,1,0,0,0,0,1,27.99999999999999
15,138228534,30,415,8.0,120.0,2.0,1,0,1,0,0,1,0,0,0,1,0,319.9999999999997
5086,138063699,19,19,67.0,120.0,1.6,4,0,1,0,0,1,0,0,0,1,0,189.00000000000009
9778,137799919,28,208,224.0,144.0,2.5,9,1,0,0,0,1,0,0,0,0,1,149.99999999999986
1145,138201048,28,208,86.0,171.0,3.0,4,1,0,0,0,1,0,0,0,1,0,299.0
7453,137905169,29,364,268.0,116.0,2.0,15,0,1,0,0,1,0,0,0,0,1,26.999999999999996
6310,138022165,30,359,12.0,407.0,2.0,1,1,0,0,0,0,0,1,0,1,0,629.0000000000001
354,138219807,16,299,0.0,230.0,0.0,0,1,0,0,0,0,0,1,0,1,0,471.9999999999998
6560,137999662,16,299,101.0,202.0,2.0,3,1,0,0,0,0,0,1,0,1,0,254.9999999999999
9927,137796580,28,319,67.0,136.0,1.8,6,0,1,0,0,0,0,1,0,1,0,240.0000000000001
6207,132771575,27,274,91.0,332.0,0.0,4,1,0,0,0,0,1,0,0,1,0,525.0
6224,137521633,30,442,88.0,215.0,2.0,7,1,0,0,0,1,0,0,0,0,1,279.0
8640,137829326,1,18,140.0,122.0,1.6,10,0,0,1,1,0,0,0,0,0,1,100.00000000000003
2013,138160635,18,220,74.0,131.0,2.0,8,0,1,0,0,1,0,0,0,0,1,118.9999999999999
9272,137791216,0,59,224.0,232.0,3.0,12,1,0,0,0,1,0,0,0,1,0,116.99999999999993
6486,128384099,28,138,188.0,88.0,1.0,24,0,1,0,1,0,0,0,0,0,1,16.999999999999996
3660,138056957,29,392,146.0,140.0,2.0,9,1,0,0,0,1,0,0,0,1,0,139.0
698,138211681,28,73,104.0,136.0,1.8,5,0,1,0,0,0,0,1,0,1,0,163.99999999999997
7965,137873230,13,37,174.0,120.0,1.8,13,0,1,0,1,0,0,0,0,0,1,24.99999999999999
8335,137843083,18,71,80.0,110.0,1.7,9,0,1,0,0,1,0,0,0,0,1,100.00000000000003
8393,137841441,0,352,169.0,333.0,3.0,9,1,0,0,1,0,0,0,0,1,0,329.9999999999997
7171,137854094,19,33,163.0,111.0,1.6,8,0,1,0,0,1,0,0,0,1,0,85.99999999999994
9475,137808789,17,256,30.0,109.0,0.0,4,0,1,0,0,0,1,0,0,1,0,158.99999999999997
3100,138136525,19,33,18.0,120.0,1.6,1,0,1,0,0,1,0,0,0,1,0,428.9999999999999
3135,138135930,28,73,40.0,136.0,1.8,2,0,1,0,0,0,0,1,0,1,0,258.9999999999999
379,138219074,28,254,16.0,177.0,2.8,1,1,0,0,0,1,0,0,0,1,0,629.9999999999999
8714,137820520,27,274,50.0,332.0,0.0,3,1,0,0,0,0,1,0,0,1,0,618.9999999999998
5829,138046074,28,453,25.0,100.0,1.5,2,0,1,0,0,0,0,1,0,1,0,189.00000000000009
2146,138160046,19,89,117.0,110.0,2.2,5,0,1,0,0,1,0,0,0,0,1,128.99999999999994
351,138214548,1,438,92.0,258.0,3.0,5,1,0,0,0,1,0,0,0,1,0,618.9999999999998
8503,137835786,1,434,144.0,136.0,2.0,9,1,0,0,0,1,0,0,0,1,0,139.0
10572,137762288,1,18,177.0,116.0,2.0,14,0,0,1,1,0,0,0,0,0,1,23.999999999999996
8407,137841608,30,416,35.0,120.0,2.0,2,0,1,0,0,1,0,0,0,0,1,264.9999999999997
5641,138038875,26,218,68.0,83.0,1.0,15,1,0,0,1,0,0,0,0,1,0,56.99999999999998
5471,138055992,1,31,110.0,163.0,2.0,3,1,0,0,0,1,0,0,0,1,0,398.9999999999998
2827,138143237,1,438,152.0,286.0,3.0,11,1,0,0,0,1,0,0,0,1,0,268.99999999999994
8134,134973940,28,254,146.0,173.0,3.0,11,1,0,0,0,1,0,0,0,1,0,270.0000000000001
5912,138043687,11,337,43.0,99.0,1.0,2,0,1,0,1,0,0,0,0,0,1,168.99999999999997
7930,137875922,30,442,171.0,163.0,2.4,5,1,0,0,0,1,0,0,0,1,0,360.0
4341,136450694,29,191,48.0,115.0,0.0,3,0,1,0,0,0,1,0,0,1,0,215.0
4954,138066149,19,14,17.0,82.0,1.2,3,0,1,0,1,0,0,0,0,0,1,145.00000000000003
923,138206759,23,295,61.0,184.0,2.0,3,1,0,0,0,1,0,0,0,1,0,349.99999999999983
3018,138138381,29,307,70.0,150.0,2.0,3,1,0,0,0,1,0,0,0,0,1,349.99999999999983
1111,138187982,0,56,172.0,143.0,2.0,8,1,0,0,0,1,0,0,0,0,1,171.99999999999991
1778,138180836,2,387,300.0,182.0,6.5,19,1,0,0,0,1,0,0,0,1,0,40.00000000000001
4645,138066495,25,234,81.0,92.0,1.3,14,1,0,0,1,0,0,0,0,0,1,29.999999999999996
532,138215624,10,173,5.0,300.0,2.0,1,0,0,1,1,0,0,0,0,1,0,847.9999999999998
10084,137792502,17,327,11.0,116.0,1.2,2,0,1,0,1,0,0,0,0,0,1,268.99999999999994
6138,124502782,14,375,38.0,122.0,2.9,21,0,0,1,0,1,0,0,0,1,0,50.99999999999999
2586,138148885,17,256,7.0,150.0,0.0,1,0,1,0,0,0,1,0,0,1,0,299.0
1181,138200487,14,375,237.0,163.0,2.1,8,0,0,1,0,1,0,0,0,0,1,115.00000000000003
9700,137803075,19,22,174.0,109.0,1.6,10,0,1,0,0,1,0,0,0,0,1,50.99999999999999
3862,138111758,1,438,136.0,245.0,3.0,8,1,0,0,0,1,0,0,0,1,0,353.9999999999999
8782,137824399,14,51,59.0,360.0,2.0,5,1,0,0,1,0,0,0,0,1,0,479.99999999999983
4420,138075316,21,458,60.0,88.0,0.0,4,0,1,0,0,0,1,0,0,1,0,133.99999999999997
11037,137748148,3,96,9.0,110.0,1.2,1,0,1,0,1,0,0,0,0,1,0,289.0000000000001
5865,138044962,6,175,67.0,80.0,1.0,4,0,1,0,1,0,0,0,0,0,1,108.99999999999997
6572,132077481,1,214,78.0,170.0,0.0,2,0,0,1,0,0,1,0,0,1,0,250.0
772,138209889,28,73,71.0,136.0,1.8,6,0,1,0,0,0,0,1,0,1,0,168.99999999999997
8030,134202592,29,397,194.0,105.0,2.0,10,0,1,0,0,1,0,0,0,1,0,76.99999999999997
8476,137838116,10,433,136.0,131.0,2.0,11,0,1,0,0,1,0,0,0,0,1,70.00000000000003
11038,137748139,30,418,41.0,120.0,2.0,3,0,1,0,0,1,0,0,0,0,1,274.99999999999994
10288,137786353,29,392,39.0,190.0,2.0,2,1,0,0,0,1,0,0,0,1,0,499.0
7239,137935586,30,359,43.0,190.0,2.0,2,0,1,0,0,1,0,0,0,1,0,499.99999999999983
8180,131569594,14,91,189.0,120.0,2.0,8,0,0,1,0,1,0,0,0,0,1,115.99999999999993
6030,138039692,13,30,77.0,116.0,1.6,6,0,1,0,0,1,0,0,0,0,1,168.99999999999997
2837,138142929,29,412,28.0,60.0,1.0,2,0,1,0,1,0,0,0,0,0,1,139.0
959,138205772,19,5,1.0,69.0,1.0,1,0,1,0,1,0,0,0,0,0,1,170.0
8630,133506201,30,444,118.0,200.0,2.4,7,1,0,0,0,1,0,0,0,1,0,402.99999999999983
2920,138136387,1,18,209.0,170.0,2.2,18,0,0,1,1,0,0,0,0,1,0,50.00000000000001
9462,137809169,6,400,78.0,125.0,2.2,6,1,0,0,0,1,0,0,0,0,1,198.99999999999983
1872,138175725,30,415,29.0,150.0,2.0,1,0,1,0,0,1,0,0,0,1,0,349.99999999999983
2023,138160424,30,443,162.0,163.0,2.4,6,1,0,0,0,1,0,0,0,1,0,270.0000000000001
5694,133324553,19,303,98.0,90.0,1.6,7,0,1,0,0,1,0,0,0,1,0,70.99999999999997
8271,134321304,30,444,14.0,407.0,2.0,1,1,0,0,0,0,0,1,0,1,0,845.9999999999999
9125,137817284,29,191,26.0,150.0,1.4,2,0,1,0,0,0,0,1,0,1,0,260.0
2518,138149778,30,421,71.0,235.0,2.0,2,1,0,0,0,1,0,0,0,1,0,599.9999999999999
5631,138050949,6,402,211.0,110.0,1.8,7,0,1,0,0,1,0,0,0,0,1,38.99999999999999
1401,138195491,6,176,135.0,109.0,1.6,10,0,1,0,0,1,0,0,0,0,1,40.00000000000001
9164,137816453,30,444,7.0,407.0,2.0,1,1,0,0,0,0,0,1,0,1,0,949.0000000000003
893,138207301,17,256,7.0,150.0,0.0,1,0,1,0,0,0,1,0,0,1,0,309.00000000000017
6028,138039726,8,216,78.0,135.0,1.6,4,0,1,0,1,0,0,0,0,0,1,168.99999999999997
7309,137923234,0,352,132.0,333.0,3.0,9,1,0,0,1,0,0,0,0,1,0,338.9999999999996
9318,137813263,29,412,22.0,60.0,1.0,3,0,1,0,1,0,0,0,0,0,1,110.00000000000003
7196,137936294,30,443,127.0,163.0,2.4,4,1,0,0,0,1,0,0,0,1,0,399.9999999999999
9488,137808535,5,32,10.0,84.0,0.9,2,0,1,0,1,0,0,0,0,0,1,158.99999999999997
2868,138137297,17,256,14.0,150.0,0.0,1,0,1,0,0,0,1,0,0,1,0,309.00000000000017
10094,137792347,13,37,90.0,150.0,2.2,6,0,1,0,0,1,0,0,0,1,0,220.00000000000006
9668,137803329,29,193,131.0,105.0,1.9,12,0,1,0,0,1,0,0,0,1,0,70.00000000000003
6,138228875,30,442,17.0,190.0,2.0,1,1,0,0,0,1,0,0,0,1,0,759.0000000000001
206,138223540,17,161,20.0,109.0,0.0,3,0,1,0,0,0,1,0,0,1,0,205.0
5283,138058322,30,442,210.0,163.0,2.4,8,1,0,0,0,1,0,0,0,1,0,250.0
3443,138124988,6,402,8.0,120.0,1.5,2,0,1,0,0,1,0,0,0,0,1,205.0
1091,138202382,30,422,19.0,190.0,2.0,1,1,0,0,0,1,0,0,0,1,0,688.9999999999997
6754,137982514,6,402,114.0,75.0,1.8,10,0,1,0,0,1,0,0,0,0,1,46.0
5197,138061488,16,250,85.0,178.0,2.5,4,1,0,0,0,1,0,0,0,1,0,258.9999999999999
9965,137794996,17,282,191.0,190.0,2.5,7,1,0,0,0,1,0,0,0,1,0,178.99999999999983
6059,138033714,16,300,182.0,99.0,2.0,25,1,0,0,0,1,0,0,0,0,1,36.0
5125,138062732,1,214,32.0,170.0,0.0,3,0,0,1,0,0,1,0,0,1,0,209.0
9191,135744613,0,59,83.0,204.0,3.0,6,1,0,0,0,1,0,0,0,1,0,419.99999999999983
6951,86199213,30,98,198.0,109.0,1.6,9,0,1,0,0,1,0,0,0,0,1,50.00000000000001
1470,138193120,6,248,193.0,136.0,2.0,10,1,0,0,0,1,0,0,0,0,1,139.9999999999999
2730,138145589,29,107,15.0,102.0,2.0,1,0,1,0,0,1,0,0,0,0,1,197.99999999999991
3757,138120602,29,306,36.0,218.0,1.4,1,0,1,0,1,0,0,0,0,1,0,368.9999999999999
3384,138130128,25,177,83.0,150.0,2.0,5,1,0,0,1,0,0,0,0,1,0,268.99999999999994
10607,137760794,19,21,202.0,109.0,2.0,11,0,1,0,0,1,0,0,0,0,1,41.999999999999986
7788,129796633,11,311,21.0,65.0,1.0,2,0,1,0,1,0,0,0,0,0,1,115.00000000000003
6014,138040044,18,71,10.0,105.0,1.0,2,0,1,0,1,0,0,0,0,0,1,248.99999999999977
11158,137745213,27,274,43.0,107.0,0.0,3,1,0,0,0,0,1,0,0,1,0,638.9999999999991
7175,128909098,1,31,159.0,218.0,2.0,6,1,0,0,0,1,0,0,0,1,0,342.9999999999998
6463,138002324,1,18,90.0,306.0,3.0,6,1,0,0,1,0,0,0,0,1,0,484.9999999999997
1891,138150068,14,91,284.0,163.0,2.0,19,0,0,1,1,0,0,0,0,1,0,19.999999999999993
7385,137912939,3,93,44.0,64.0,0.0,7,0,0,1,0,0,1,0,0,1,0,70.00000000000003
6006,133835166,30,420,219.0,163.0,2.4,14,1,0,0,0,1,0,0,0,1,0,76.99999999999997
5166,138061955,29,405,97.0,140.0,2.0,5,1,0,0,0,1,0,0,0,0,1,189.00000000000009
4052,138105099,1,31,222.0,218.0,3.0,14,0,0,1,0,1,0,0,0,1,0,100.00000000000003
9520,137807809,30,418,10.0,220.0,2.4,1,1,0,0,0,0,0,1,0,1,0,478.9999999999995
5223,138057293,3,94,171.0,68.0,1.0,12,0,1,0,1,0,0,0,0,0,1,18.000000000000014
10723,136035874,28,73,52.0,136.0,1.8,2,0,1,0,0,0,0,1,0,1,0,248.99999999999977
1287,138198725,14,429,133.0,150.0,2.1,11,1,0,0,0,1,0,0,0,1,0,128.99999999999994
5816,135723534,14,159,170.0,163.0,1.8,16,0,0,1,1,0,0,0,0,1,0,50.00000000000001
4494,138078498,30,418,34.0,231.0,2.4,3,1,0,0,0,0,0,1,0,1,0,398.9999999999998
1342,138197352,17,256,40.0,109.0,0.0,5,0,1,0,0,0,1,0,0,1,0,159.99999999999994
4218,138095755,28,138,89.0,110.0,1.6,13,0,1,0,1,0,0,0,0,1,0,59.99999999999997
2503,66861018,16,299,59.0,150.0,2.0,6,0,1,0,1,0,0,0,0,1,0,223.99999999999983
10987,137747454,30,420,255.0,180.0,2.4,15,0,1,0,1,0,0,0,0,1,0,41.999999999999986
9578,137806483,28,453,43.0,100.0,1.5,4,0,1,0,0,0,0,1,0,1,0,154.00000000000003
10657,137613366,1,18,130.0,163.0,2.0,13,0,0,1,0,1,0,0,0,1,0,101.99999999999994
8966,137820561,14,91,44.0,156.0,1.6,3,0,0,1,1,0,0,0,0,1,0,368.9999999999999
1948,136513641,30,358,143.0,185.0,2.0,12,0,1,0,0,1,0,0,0,1,0,124.00000000000001
1929,138164244,14,262,163.0,224.0,3.0,12,1,0,0,0,1,0,0,0,1,0,230.99999999999986
8929,137821253,28,254,45.0,177.0,2.8,4,1,0,0,0,1,0,0,0,1,0,463.9999999999997
3208,138134577,29,397,192.0,105.0,1.6,6,0,1,0,0,1,0,0,0,1,0,110.00000000000003
4378,138078266,23,244,51.0,179.0,2.0,2,1,0,0,1,0,0,0,0,1,0,588.9999999999998
7727,137883206,23,293,86.0,179.0,1.8,5,1,0,0,1,0,0,0,0,1,0,244.00000000000003
7381,137912954,28,208,345.0,102.0,2.5,15,1,0,0,0,1,0,0,0,0,1,71.99999999999996
10443,127029345,11,374,74.0,136.0,2.0,6,1,0,0,0,1,0,0,0,0,1,213.99999999999986
2589,138148797,23,241,6.0,150.0,2.0,1,1,0,0,0,1,0,0,0,1,0,478.9999999999995
2804,138143697,23,333,22.0,90.0,1.2,3,0,1,0,1,0,0,0,0,1,0,189.9999999999999
2895,138141636,29,364,231.0,140.0,2.0,7,1,0,0,0,1,0,0,0,0,1,229.00000000000009
8367,137840206,30,420,225.0,136.0,2.0,10,0,1,0,0,1,0,0,0,0,1,83.99999999999994
10157,137785104,0,55,260.0,120.0,2.0,8,0,1,0,0,1,0,0,0,1,0,74.0
7262,137927467,29,191,250.0,150.0,1.9,17,0,1,0,0,1,0,0,0,0,1,52.0
7598,137890476,30,420,299.0,193.0,2.4,21,1,0,0,1,0,0,0,0,0,1,22.00000000000001
915,138202280,14,262,240.0,218.0,3.0,21,1,0,0,1,0,0,0,0,1,0,43.999999999999986
5609,138051297,14,91,70.0,136.0,2.1,6,0,0,1,0,1,0,0,0,1,0,199.9999999999999
6230,138013547,17,256,6.0,150.0,0.0,1,0,1,0,0,0,1,0,0,1,0,324.9999999999999
3346,138131335,6,175,91.0,101.0,1.0,4,0,1,0,1,0,0,0,0,1,0,148.99999999999991
4764,138000390,21,458,53.0,92.0,0.0,2,0,1,0,0,0,1,0,0,1,0,215.0
9625,137805565,21,271,28.0,132.0,1.2,2,0,1,0,1,0,0,0,0,1,0,289.0000000000001
10182,137790527,14,51,101.0,136.0,1.8,6,0,1,0,0,1,0,0,0,1,0,209.0
1355,138197140,29,195,41.0,86.0,1.2,2,0,1,0,1,0,0,0,0,0,1,215.0
390,138218905,6,248,174.0,140.0,2.0,7,1,0,0,0,1,0,0,0,0,1,179.9999999999999
9157,135922061,17,256,52.0,109.0,0.0,5,0,1,0,0,0,1,0,0,1,0,164.99999999999994
8242,132814940,18,71,174.0,110.0,1.7,11,0,1,0,0,1,0,0,0,0,1,38.0
5486,138054858,17,256,23.0,109.0,0.0,6,0,1,0,0,0,1,0,0,1,0,98.99999999999994
828,125291112,14,367,159.0,163.0,2.0,19,0,0,1,1,0,0,0,0,1,0,55.99999999999996
6819,137966584,14,185,126.0,258.0,3.0,5,1,0,0,0,1,0,0,0,1,0,589.9999999999997
10864,137753410,17,256,58.0,109.0,0.0,4,0,1,0,0,0,1,0,0,1,0,145.00000000000003
10817,137751942,15,17,127.0,95.0,1.4,10,0,1,0,1,0,0,0,0,0,1,78.99999999999996
8948,137820917,1,214,4.0,184.0,0.0,1,0,0,1,0,0,1,0,0,1,0,348.9999999999996
3763,138120422,30,416,68.0,114.0,1.6,4,0,1,0,0,1,0,0,0,0,1,198.99999999999983
4025,138109278,6,175,95.0,95.0,1.6,9,1,0,0,0,1,0,0,0,0,1,68.00000000000001
